Gegenstand;zugewiesene Gruppen;Brutto Betrag;Dokument;Kostenstellen;Kreditorname;Kreditornr.;Mandantenname;Mandantennr.;Netto Betrag;Prozessinstanz;Rechnungsdatum;Standort;Externe Belegnr.;Belegart;Empfangsdatum;Link zur Aufgabe;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010316;907200;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;16.11.2020;Frankfurt;3304127;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48610?task_form_url_id=ab7bce3eb77530308d3a6b6dbc232df0;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010315;907200;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;16.11.2020;Frankfurt;3304129;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48609?task_form_url_id=e6bafd3b6973a4f3cca04a6131d023bf;
KST Belegung;EAV_Buchhaltung;92617,88;IL00010317;907200;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;79843,00;Verwaltung;17.11.2020;Frankfurt;3304156;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48608?task_form_url_id=406d954e0c80dfb3b409ec30c5fb7556;
KST Belegung;EAV_Buchhaltung;1102,00;IL00010319;907200;Motoren Münch Inh. Joachim Münch;700042900;Ferronordic GmbH;10002;950,00;Verwaltung;16.11.2020;Frankfurt;200331;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48607?task_form_url_id=a64e81462d64e108580da0fdfe44df4f;
KST Belegung;EAV_Buchhaltung;34,13;IL00010318;907200;Büro-Eck GmbH;700075300;Ferronordic GmbH;10002;29,42;Verwaltung;16.11.2020;Frankfurt;026442;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48606?task_form_url_id=b6a4203be496a665c50638484196af45;
KST Belegung;EAV_Buchhaltung;12,70;IL00010320;907200;Büro-Eck GmbH;700075300;Ferronordic GmbH;10002;10,95;Verwaltung;16.11.2020;Frankfurt;000657;Credit Note;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48605?task_form_url_id=1924e3083d9db58c54c4baa7ac65e9b1;
KST Belegung;EAV_Buchhaltung;174,00;IL00010203;907200;ABP Christian Linnemann & Frank Maleszka;700028000;Ferronordic GmbH;10002;150,00;Verwaltung;13.11.2020;Frankfurt;2020-R-2225;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48590?task_form_url_id=4ee0a9070b399d7d3dcc415a9570ae04;
KST Belegung;EAV_Buchhaltung;224,91;IL00010207;907200;Wirtschaftsgesellschaft des Kfz Wiesbade;700052300;Ferronordic GmbH;10002;189,00;Verwaltung;12.11.2020;Frankfurt;20LP3449;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48588?task_form_url_id=5fbf46cc35203e9ccd729d74445c2ab9;
KST Belegung;EAV_Buchhaltung;30,97;IL00010206;907200;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;26,70;Verwaltung;16.11.2020;Frankfurt;20485988;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48587?task_form_url_id=f2d1c4ebb4cd6f154a09f3802ba9b88a;
KST Belegung;EAV_Buchhaltung;11,60;IL00010205;907200;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;10,00;Verwaltung;12.11.2020;Frankfurt;64460706;Credit Note;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48586?task_form_url_id=4b60a7e69956cacef16015fc8f58b77f;
KST Belegung;EAV_Buchhaltung;96,50;IL00010212;907200;TÜV Technische Überwachung Hessen GmbH;700003600;Ferronordic GmbH;10002;83,19;Verwaltung;16.11.2020;Frankfurt;194152165;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48585?task_form_url_id=b65f2cd8152c669db2b8ded30e2bac13;
KST Belegung;EAV_Buchhaltung;2498,41;IL00010211;907200;Josam Richttechnik GmbH;700026000;Ferronordic GmbH;10002;2153,80;Verwaltung;13.11.2020;Frankfurt;RE-33423;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48584?task_form_url_id=fbf20c6023b9727d3a2e78a7c97cb596;
KST Belegung;EAV_Buchhaltung;406,00;IL00010210;907200;Josam Richttechnik GmbH;700026000;Ferronordic GmbH;10002;350,00;Verwaltung;12.11.2020;Frankfurt;32338;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48583?task_form_url_id=8a25065626c3d4f6d29c50ca0f9c0992;
KST Belegung;EAV_Buchhaltung;145,10;IL00010216;907200;TÜV Technische Überwachung Hessen GmbH;700003600;Ferronordic GmbH;10002;145,10;Verwaltung;16.11.2020;Frankfurt;32338;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48580?task_form_url_id=c1fb18c90a75b439f838c5002a94fe99;
KST Belegung;EAV_Buchhaltung;74,82;IL00010215;907200;HÜFFERMANN Transportsysteme GmbH;700036200;Ferronordic GmbH;10002;64,50;Verwaltung;12.11.2020;Frankfurt;ET-20308663;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48579?task_form_url_id=31e75a0ae7919d287a95dc70eac501cd;
KST Belegung;EAV_Buchhaltung;5,06;IL00010214;907200;HÜFFERMANN Transportsysteme GmbH;700036200;Ferronordic GmbH;10002;4,36;Verwaltung;16.11.2020;Frankfurt;16;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48578?task_form_url_id=7b183f94c913a58f0aa7fa372b83f19e;
KST Belegung;EAV_Buchhaltung;594,20;IL00010213;907200;TÜV Technische Überwachung Hessen GmbH;700003600;Ferronordic GmbH;10002;594,20;Verwaltung;16.11.2020;Frankfurt;16;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48577?task_form_url_id=7f7375b970e27d2a49f336f3e4c7306c;
KST Belegung;EAV_Buchhaltung;197,20;IL00010223;907200;Volvo Group Trucks Central Europe GmbH;700011800;Ferronordic GmbH;10002;170,00;Verwaltung;11.11.2020;Frankfurt;5203520;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48576?task_form_url_id=b14b887f8dcd592d66de58b72f3dddbb;
KST Belegung;EAV_Buchhaltung;263,37;IL00010222;907200;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;227,04;Verwaltung;16.11.2020;Frankfurt;20484335;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48575?task_form_url_id=c18179e1cd4cb5d681f3c76821ade300;
KST Belegung;EAV_Buchhaltung;110,20;IL00010220;907200;fritzwerbung Inh. Thomas Fritz;700037500;Ferronordic GmbH;10002;95,00;Verwaltung;16.11.2020;Frankfurt;20200494;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48573?task_form_url_id=e02ebcf795fbed32306997026ba66551;
KST Belegung;EAV_Buchhaltung;110,20;IL00010219;907200;EUROPART Trading GmbH;700003700;Ferronordic GmbH;10002;95,00;Verwaltung;16.11.2020;Frankfurt;17836200;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48572?task_form_url_id=b16a95daf52bbbd3a552ed4021167696;
KST Belegung;EAV_Buchhaltung;8,05;IL00010218;907200;REMONDIS GmbH;700020100;Ferronordic GmbH;10002;6,94;Verwaltung;13.11.2020;Frankfurt;10347545;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48571?task_form_url_id=37b8177678ec83cbba263ae99870fdc0;
KST Belegung;EAV_Buchhaltung;281,04;IL00010224;907200;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;242,28;Verwaltung;12.11.2020;Frankfurt;20454651;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48569?task_form_url_id=ebce2fda18a8ec559d5d2dc68ec0c5ef;
KST Belegung;EAV_Buchhaltung;0,00;IL00010204;907200;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;12.11.2020;Frankfurt;20454651;Invoice;2020-11-17;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48591?task_form_url_id=6d9e520921a2cfdea866d0efb7d2dabc;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;98,00;IL00007761;907400;Bahn, Jelena;899120000;Ferronordic GmbH;10002;98,00;Verwaltung;23.09.2020;Frankfurt;Bahn-230920;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/46520?task_form_url_id=1ef98da4fbd6b5a7aaf61579ee200f50;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;51,80;IL00008769;907200;Kühnle, Jens;899060000;Ferronordic GmbH;10002;51,80;Verwaltung;10.11.2020;Frankfurt;Kühnle-191020;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47215?task_form_url_id=e32ab307ba37463bed49b8e287d969ea;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;194,60;IL00008770;907200;Kühnle, Jens;899060000;Ferronordic GmbH;10002;194,60;Verwaltung;10.11.2020;Frankfurt;Kühnle-031120;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47216?task_form_url_id=b5869b5ca0e77f669674b67941ff7b82;
KST Belegung;EAV_Buchhaltung;83,52;IL00010147;907200;Tchibo Coffee Service GmbH;700053700;Ferronordic GmbH;10002;72,00;Verwaltung;15.11.2020;Frankfurt;88802855;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48448?task_form_url_id=5d5e10fe1d8ea994a3e4c435ef3a066b;
KST Belegung;EAV_Buchhaltung;702,85;IL00010146;907200;DEKRA Automobil GmbH;700005700;Ferronordic GmbH;10002;702,85;Verwaltung;10.11.2020;Frankfurt;88802855;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48447?task_form_url_id=fb663b1ecd0fbd9c6a31a3287b6fb9d2;
KST Belegung;EAV_Buchhaltung;42,92;IL00010145;907200;Hyva Germany GmbH;700029500;Ferronordic GmbH;10002;37,00;Verwaltung;10.11.2020;Frankfurt;836176;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48446?task_form_url_id=ca5984dbd57dbf2cbfb0ecc3785da3d3;
KST Belegung;EAV_Buchhaltung;110,20;IL00010144;907200;fritzwerbung Inh. Thomas Fritz;700037500;Ferronordic GmbH;10002;95,00;Verwaltung;16.11.2020;Frankfurt;20200494;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48445?task_form_url_id=e00721c0302911dc4efd39af3e2ebe29;
KST Belegung;EAV_Buchhaltung;84,40;IL00010143;907200;fritzwerbung Inh. Thomas Fritz;700037500;Ferronordic GmbH;10002;84,40;Verwaltung;13.11.2020;Frankfurt;20200494;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48444?task_form_url_id=59e0eacc64ba27d2008c05789cfca1e1;
KST Belegung;EAV_Buchhaltung;107,53;IL00010142;907200;Lyreco Deutschland GmbH;700003500;Ferronordic GmbH;10002;107,53;Verwaltung;09.11.2020;Frankfurt;2654060901;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48443?task_form_url_id=c37b2ee92e9603714c426b37da50b080;
KST Belegung;EAV_Buchhaltung;344,64;IL00010159;907200;Autopark Schulz GmbH;700002100;Ferronordic GmbH;10002;297,10;Verwaltung;10.11.2020;Frankfurt;2002083;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48442?task_form_url_id=a50df220f4c861344c376e07ff461ca9;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010157;907200;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;16.11.2020;Frankfurt;3304133;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48440?task_form_url_id=edb3cbddad15b2007a12b2569072e818;
KST Belegung;EAV_Buchhaltung;118,00;IL00010155;907200;DEKRA Automobil GmbH;700005700;Ferronordic GmbH;10002;118,00;Verwaltung;10.11.2020;Frankfurt;1442655103;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48438?task_form_url_id=83bb0475cf477b6a0938077ef551490e;
KST Belegung;EAV_Buchhaltung;3503,20;IL00010121;907200;DEKRA Automobil GmbH;700005700;Ferronordic GmbH;10002;3020,00;Verwaltung;10.11.2020;Frankfurt;6.3571/20;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48475?task_form_url_id=5c875a95d14c8e02b2dca21d58368f7c;
KST Belegung;EAV_Buchhaltung;886,39;IL00010119;907200;Cargobull Parts & Services GmbH;700004300;Ferronordic GmbH;10002;764,13;Verwaltung;05.11.2020;Frankfurt;212406396;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48473?task_form_url_id=d0ed6d71ac370f141f3c2b6bfd876726;
KST Belegung;EAV_Buchhaltung;71,61;IL00010125;907200;Cargobull Parts & Services GmbH;700004300;Ferronordic GmbH;10002;61,73;Verwaltung;12.11.2020;Frankfurt;212410392;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48471?task_form_url_id=a6df80f82b91660e6817fea7b03e4579;
KST Belegung;EAV_Buchhaltung;114,03;IL00010123;907200;Hofmeister & Meincke GmbH;700006300;Ferronordic GmbH;10002;98,30;Verwaltung;10.11.2020;Frankfurt;3712951982;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48469?task_form_url_id=4d93c553243307f51ee8cf72780a2cc3;
KST Belegung;EAV_Buchhaltung;965,00;IL00010129;907200;Primagas Ernergie GmbH & Co. KG;700046100;Ferronordic GmbH;10002;831,90;Verwaltung;10.11.2020;Frankfurt;000000;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48464?task_form_url_id=cc8af96f59e2c1daa73ebc2909b16688;
KST Belegung;EAV_Buchhaltung;0,00;IL00010128;907200;Primagas Ernergie GmbH & Co. KG;700046100;Ferronordic GmbH;10002;0,00;Verwaltung;10.11.2020;Frankfurt;000000;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48463?task_form_url_id=3a5612f1751f35bb7b671cff671bfac5;
KST Belegung;EAV_Buchhaltung;229,54;IL00010127;907200;REMONDIS GmbH;700020100;Ferronordic GmbH;10002;197,88;Verwaltung;13.11.2020;Frankfurt;10347554;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48462?task_form_url_id=23819b512b18535e5a77f6ec4eac4185;
KST Belegung;EAV_Buchhaltung;42,36;IL00010141;907200;Adolf Würth GmbH & Co.KG;700002800;Ferronordic GmbH;10002;36,52;Verwaltung;11.11.2020;Frankfurt;6027802503;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48461?task_form_url_id=334d5c98152f158feb60ff6cb1191afc;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010139;907200;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;16.11.2020;Frankfurt;3304132;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48459?task_form_url_id=63864ea1162b2963f04bd3a02dd0c135;
KST Belegung;EAV_Buchhaltung;25,58;IL00010138;907200;DEKRA Automobil GmbH;700005700;Ferronordic GmbH;10002;22,05;Verwaltung;10.11.2020;Frankfurt;1.5.0.56.86991;Credit Note;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48458?task_form_url_id=b776d4fe2f99ab467816e94bc079126b;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010137;907200;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;16.11.2020;Frankfurt;3304134;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48457?task_form_url_id=529d3fcfc7be75bf3af0843f696c62c0;
KST Belegung;EAV_Buchhaltung;83393,56;IL00010136;907200;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;71891,00;Verwaltung;16.11.2020;Frankfurt;3304131;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48456?task_form_url_id=c9b1f961254078214cda9791fb97bca0;
KST Belegung;EAV_Buchhaltung;6,59;IL00010135;907200;Fahrzeugwerk Bernard Krone GmbH & Co. KG;700022200;Ferronordic GmbH;10002;5,68;Verwaltung;13.11.2020;Frankfurt;10347551;Credit Note;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48455?task_form_url_id=f981d225cb2b05edef9b7846d5a860b8;
KST Belegung;EAV_Buchhaltung;638,89;IL00010151;907200;PEMA GmbH;700025300;Ferronordic GmbH;10002;550,77;Verwaltung;06.11.2020;Frankfurt;35020054676;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48452?task_form_url_id=0f94b9d3d7324ef11fccfb25b101bf84;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;789,58;IL00009849;907000;Ferronordic Auto GmbH;700070400;Ferronordic GmbH;10002;680,67;Verwaltung;02.11.2020;Frankfurt;96472;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48265?task_form_url_id=5671394727d66e5d21aed791c09ce7b7;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;630,85;IL00009850;907120;Küttner Rechtsanwälte;700079200;Ferronordic GmbH;10002;543,84;Verwaltung;02.11.2020;Frankfurt;2002887;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48266?task_form_url_id=3b9ec1e35e7ab1fef1438d4e66789039;
KST Belegung;EAV_Buchhaltung;94,42;IL00009938;907120;Fritz Wick GmbH;700009800;Ferronordic GmbH;10002;81,40;Verwaltung;14.11.2020;Frankfurt;27803;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48335?task_form_url_id=d78f67f79498305f96ad2fe60e341eff;
KST Belegung;EAV_Buchhaltung;2262,00;IL00009935;907120;Fritz Wick GmbH;700009800;Ferronordic GmbH;10002;1950,00;Verwaltung;11.11.2020;Frankfurt;107/2020;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48332?task_form_url_id=c2f104a7b18bed66bd4b69f629d80481;
KST Belegung;EAV_Buchhaltung;124,70;IL00009934;907120;Volvo Group Trucks Central Europe GmbH;700011800;Ferronordic GmbH;10002;124,70;Verwaltung;06.11.2020;Frankfurt;2020-1988;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48331?task_form_url_id=6bc9945497cf7941883a22e29c610efc;
KST Belegung;EAV_Buchhaltung;171,68;IL00009941;907120;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;148,00;Verwaltung;12.11.2020;Frankfurt;20455317;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48330?task_form_url_id=be86c1bdb14f4c5b803d163b1e100fb3;
KST Belegung;EAV_Buchhaltung;129,41;IL00009940;907120;REWE-Zentralfinanz eG;700078800;Ferronordic GmbH;10002;111,56;Verwaltung;06.11.2020;Frankfurt;19.11.2020;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48329?task_form_url_id=c94e644634bc53fb2c839d37bf7ca3b0;
KST Belegung;EAV_Buchhaltung;1092,99;IL00009924;907120;REWE-Zentralfinanz eG;700078800;Ferronordic GmbH;10002;942,23;Verwaltung;13.11.2020;Frankfurt;520386;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48314?task_form_url_id=cfe17d8d93a357906036c33f6c78c1a0;
KST Belegung;EAV_Buchhaltung;43,71;IL00009908;907120;Telekom Deutschland AG;700005200;Ferronordic GmbH;10002;37,68;Verwaltung;13.11.2020;Frankfurt;04996567012511;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48299?task_form_url_id=54c5bb17768c6e5fb417dc0772e561c0;
KST Belegung;EAV_Buchhaltung;69,84;IL00009901;907120;Adolf Würth GmbH & Co.KG;700002800;Ferronordic GmbH;10002;60,21;Verwaltung;09.11.2020;Frankfurt;6027762624;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48297?task_form_url_id=c8bff334ac22868cbc1b64c7cf427607;
KST Belegung;EAV_Buchhaltung;276,74;IL00009900;907120;Adolf Würth GmbH & Co.KG;700002800;Ferronordic GmbH;10002;238,57;Verwaltung;13.11.2020;Frankfurt;6027884749;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48296?task_form_url_id=e5135c3a5e107cb8ba4554a89334fa0f;
KST Belegung;EAV_Buchhaltung;886,84;IL00009899;907120;computeruniverse GmbH;700004400;Ferronordic GmbH;10002;764,52;Verwaltung;13.11.2020;Frankfurt;TM7220;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48295?task_form_url_id=ad74af05f1410f3994d916c27424bfdb;
KST Belegung;EAV_Buchhaltung;385,28;IL00009898;907120;Adolf Würth GmbH & Co.KG;700002800;Ferronordic GmbH;10002;332,14;Verwaltung;11.11.2020;Frankfurt;6027810114;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48294?task_form_url_id=64de17bb8f7a4b8401fcb78276ce8fec;
KST Belegung;EAV_Buchhaltung;79,83;IL00009897;907120;Bergmann´s Menü- & Partyservice GmbH;700009100;Ferronordic GmbH;10002;76,03;Verwaltung;09.11.2020;Frankfurt;16623420069188;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48293?task_form_url_id=f576b70f084af72e117051c484c9941f;
KST Belegung;EAV_Buchhaltung;75,20;IL00009896;907120;Bergmann´s Menü- & Partyservice GmbH;700009100;Ferronordic GmbH;10002;71,62;Verwaltung;16.11.2020;Frankfurt;16623420070889;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48292?task_form_url_id=a8330590bbc49a4853f05e59cff7193b;
KST Belegung;EAV_Buchhaltung;1329,81;IL00009887;907120;Fahrzeugwerk Bernard Krone GmbH & Co. KG;700022200;Ferronordic GmbH;10002;1146,39;Verwaltung;14.11.2020;Frankfurt;2226922;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48291?task_form_url_id=da85d0f4d39cb058443141217fc5c42a;
KST Belegung;EAV_Buchhaltung;0,00;IL00009889;907120;Fahrzeugwerk Bernard Krone GmbH & Co. KG;700022200;Ferronordic GmbH;10002;0,00;Verwaltung;14.11.2020;Frankfurt;2226922;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48286?task_form_url_id=d9ade1ee0e9d679eae87cc0d1d98fbf7;
KST Belegung;EAV_Buchhaltung;116,55;IL00009886;907120;JACOB Elektronik GmbH;700061400;Ferronordic GmbH;10002;100,47;Verwaltung;13.11.2020;Frankfurt;SRE6393458;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48290?task_form_url_id=9bd81a6c82f7afc2cf139abc0e16c596;
KST Belegung;EAV_Buchhaltung;87,00;IL00009884;907120;Dresdner Motorradkurier Stephan Becker;700006100;Ferronordic GmbH;10002;75,00;Verwaltung;15.11.2020;Frankfurt;1511201;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48288?task_form_url_id=a5ead1dc17391b7af83edfd914152887;
KST Belegung;EAV_Buchhaltung;222,14;IL00009888;907120;Profi-Parts GmbH;700006400;Ferronordic GmbH;10002;191,50;Verwaltung;14.11.2020;Frankfurt;193429318;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48285?task_form_url_id=a8f300fe77e1ef152f2552e9f1faf18a;
KST Belegung;EAV_Buchhaltung;136,24;IL00009875;907120;Theo Förch GmbH & Co.KG;700011100;Ferronordic GmbH;10002;117,45;Verwaltung;09.11.2020;Frankfurt;593205;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48284?task_form_url_id=fa260f88eb187f34d4763dd04ac51b01;
KST Belegung;EAV_Buchhaltung;53,13;IL00009873;907120;EUROPART Trading GmbH;700003700;Ferronordic GmbH;10002;45,80;Verwaltung;12.11.2020;Frankfurt;17829796;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48282?task_form_url_id=3ae113c440359a5a432f78a07a151603;
KST Belegung;EAV_Buchhaltung;107,88;IL00009872;907120;Hofmeister & Meincke GmbH;700006300;Ferronordic GmbH;10002;93,00;Verwaltung;12.11.2020;Frankfurt;3712892528;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48281?task_form_url_id=9a37873e8296395df9099085ce9918dc;
KST Belegung;EAV_Buchhaltung;27,21;IL00009871;907120;Hofmeister & Meincke GmbH;700006300;Ferronordic GmbH;10002;23,46;Verwaltung;13.11.2020;Frankfurt;WVRG252102;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48280?task_form_url_id=93d6936c6753df963998078139907093;
KST Belegung;EAV_Buchhaltung;97,36;IL00009868;907120;Office Depot Deutschland GmbH Viking;700007100;Ferronordic GmbH;10002;83,93;Verwaltung;12.11.2020;Frankfurt;4911609941;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48277?task_form_url_id=9b86f50707458ba7ec005b673aa884af;
KST Belegung;EAV_Buchhaltung;0,00;IL00009862;907120;Office Depot Deutschland GmbH Viking;700007100;Ferronordic GmbH;10002;0,00;Verwaltung;12.11.2020;Frankfurt;4911609941;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48276?task_form_url_id=5dcc16d129509eb389902125e71abec3;
KST Belegung;EAV_Buchhaltung;100369,00;IL00009861;907120;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;86525,00;Verwaltung;16.11.2020;Frankfurt;3304116;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48275?task_form_url_id=9a235bda51400c9c787cd325e6e41757;
KST Belegung;EAV_Buchhaltung;13802,56;IL00009860;907120;L & D - Lion and Deer GmbH;700078600;Ferronordic GmbH;10002;11898,76;Verwaltung;13.11.2020;Frankfurt;20200058;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48274?task_form_url_id=78cc6f0f44f507fe59666dee86916b7f;
KST Belegung;EAV_Buchhaltung;93972,76;IL00009858;907120;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;81011,00;Verwaltung;16.11.2020;Frankfurt;3304119;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48272?task_form_url_id=80ca1921db536281a85a871576da2e59;
KST Belegung;EAV_Buchhaltung;789,58;IL00009848;907120;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;680,67;Verwaltung;31.10.2020;Frankfurt;96297;Invoice;2020-11-16;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48269?task_form_url_id=49dc9ffa61c78ee337294e4335bc6055;
