Gegenstand;zugewiesene Gruppen;Brutto Betrag;Dokument;Kostenstellen;Kreditorname;Kreditornr.;Mandantenname;Mandantennr.;Netto Betrag;Prozessinstanz;Rechnungsdatum;Standort;Externe Belegnr.;Belegart;Empfangsdatum;Link zur Aufgabe;
KST Belegung;EAV_Buchhaltung;0,00;IL00011252;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49289?task_form_url_id=46313c277e5f72cc5fc06b656faf07e2;
KST Belegung;EAV_Buchhaltung;0,00;IL00011254;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49287?task_form_url_id=46bc953fc30992404f0e404262fa45ba;
KST Belegung;EAV_Buchhaltung;0,00;IL00011255;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49286?task_form_url_id=6fef1331b8caada986ae7c812c3fc747;
KST Belegung;EAV_Buchhaltung;0,00;IL00011251;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49285?task_form_url_id=82f7a457cea619f9aed754a534e72fb0;
KST Belegung;EAV_Buchhaltung;0,00;IL00011259;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49284?task_form_url_id=ea9ae0e9d43fb019accf43267884d537;
KST Belegung;EAV_Buchhaltung;0,00;IL00011258;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49283?task_form_url_id=89284903e064efa89d037805b014cfb2;
KST Belegung;EAV_Buchhaltung;1341,08;IL00011256;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;1156,10;Verwaltung;19.11.2020;Dessau;20505315;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49282?task_form_url_id=2463553fc2dc0795420396bd77c6ce55;
KST Belegung;EAV_Buchhaltung;243,34;IL00011257;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;209,78;Verwaltung;19.11.2020;Dessau;20502215;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49281?task_form_url_id=4768961f721d2994bf25b2ab75c01a6c;
KST Belegung;EAV_Buchhaltung;111,36;IL00011260;907000;Hofmann Menü-Manufaktur GmbH;700015200;Ferronordic GmbH;10002;96,00;Verwaltung;03.11.2020;Dessau;97197836;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49280?task_form_url_id=5d2b115e8c68103143735b075e7bce18;
KST Belegung;EAV_Buchhaltung;9,15;IL00011129;907000;Hornig Martin;700015200;Ferronordic GmbH;10002;8,71;Verwaltung;16.11.2020;Dessau;97197836;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49252?task_form_url_id=ac84ba7706d953db88408ec006d09e46;
